Country,Daylight,Rank,Score,GDP/capita,Health,Freedom,Corruption,Generosity,Year,Social support,Region code,Region,Country code,Gender,Suicide rate,Low suicide rate,High suicide rate,Value,Mean suicide rate,Median suicide rate,Std suicide rate
Luxembourg,1634.0,17,6.946,1.56391,0.91894,0.61583,0.37798,0.28034,2015,,EUR,Europe,LUX,Female,6.19,4.66,8.09,6.19 [4.66 – 8.09],10.26013351134849,7.48,11.194969511733015
Luxembourg,1634.0,17,6.946,1.56391,0.91894,0.61583,0.37798,0.28034,2015,,EUR,Europe,LUX,Both sexes,9.57,7.42,12.18,9.57 [7.42 – 12.18],10.26013351134849,7.48,11.194969511733015
Ireland,1453.0,18,6.94,1.33596,0.89533,0.61777,0.28703,0.45901,2015,,EUR,Europe,IRL,Male,13.84,11.8,16.12,13.84 [11.8 – 16.12],10.26013351134849,7.48,11.194969511733015
Ireland,1453.0,18,6.94,1.33596,0.89533,0.61777,0.28703,0.45901,2015,,EUR,Europe,IRL,Both sexes,8.71,7.3,10.28,8.71 [7.3 – 10.28],10.26013351134849,7.48,11.194969511733015
Ireland,1453.0,18,6.94,1.33596,0.89533,0.61777,0.28703,0.45901,2015,,EUR,Europe,IRL,Female,3.7,2.91,4.57,3.7 [2.91 – 4.57],10.26013351134849,7.48,11.194969511733015
Belgium,1546.0,19,6.937,1.30782,0.89667,0.5845,0.2254,0.2225,2015,,EUR,Europe,BEL,Male,20.7,18.22,23.33,20.7 [18.22 – 23.33],10.26013351134849,7.48,11.194969511733015
Belgium,1546.0,19,6.937,1.30782,0.89667,0.5845,0.2254,0.2225,2015,,EUR,Europe,BEL,Both sexes,14.41,12.57,16.38,14.41 [12.57 – 16.38],10.26013351134849,7.48,11.194969511733015
Belgium,1546.0,19,6.937,1.30782,0.89667,0.5845,0.2254,0.2225,2015,,EUR,Europe,BEL,Female,8.27,7.05,9.6,8.27 [7.05 – 9.6],10.26013351134849,7.48,11.194969511733015
United Arab Emirates,3508.7,20,6.901,1.42727,0.80925,0.64157,0.38583,0.26428,2015,,EMR,Eastern Mediterranean,ARE,Female,2.71,1.57,4.38,2.71 [1.57 – 4.38],10.26013351134849,7.48,11.194969511733015
United Arab Emirates,3508.7,20,6.901,1.42727,0.80925,0.64157,0.38583,0.26428,2015,,EMR,Eastern Mediterranean,ARE,Male,6.27,3.58,9.84,6.27 [3.58 – 9.84],10.26013351134849,7.48,11.194969511733015
United Arab Emirates,3508.7,20,6.901,1.42727,0.80925,0.64157,0.38583,0.26428,2015,,EMR,Eastern Mediterranean,ARE,Both sexes,5.25,3.01,8.27,5.25 [3.01 – 8.27],10.26013351134849,7.48,11.194969511733015
United Kingdom,1530.0,21,6.867,1.26637,0.90943,0.59625,0.32067,0.51912,2015,,EUR,Europe,GBR,Male,12.01,11.5,12.6,12.01 [11.5 – 12.6],10.26013351134849,7.48,11.194969511733015
United Kingdom,1530.0,21,6.867,1.26637,0.90943,0.59625,0.32067,0.51912,2015,,EUR,Europe,GBR,Both sexes,7.81,7.46,8.2,7.81 [7.46 – 8.2],10.26013351134849,7.48,11.194969511733015
United Kingdom,1530.0,21,6.867,1.26637,0.90943,0.59625,0.32067,0.51912,2015,,EUR,Europe,GBR,Female,3.68,3.49,3.89,3.68 [3.49 – 3.89],10.26013351134849,7.48,11.194969511733015
Oman,3493.3,22,6.853,1.36011,0.76276,0.63274,0.32524,0.21542,2015,,EMR,Eastern Mediterranean,OMN,Female,1.28,0.78,2.01,1.28 [0.78 – 2.01],10.26013351134849,7.48,11.194969511733015
Oman,3493.3,22,6.853,1.36011,0.76276,0.63274,0.32524,0.21542,2015,,EMR,Eastern Mediterranean,OMN,Male,6.8,4.18,10.98,6.8 [4.18 – 10.98],10.26013351134849,7.48,11.194969511733015
Oman,3493.3,22,6.853,1.36011,0.76276,0.63274,0.32524,0.21542,2015,,EMR,Eastern Mediterranean,OMN,Both sexes,4.7,2.89,7.64,4.7 [2.89 – 7.64],10.26013351134849,7.48,11.194969511733015
Venezuela,2895.3,23,6.81,1.04424,0.72052,0.42908,0.11069,0.05841,2015,,AMR,Americas,VEN,Both sexes,2.37,1.74,3.14,2.37 [1.74 – 3.14],10.26013351134849,7.48,11.194969511733015
Venezuela,2895.3,23,6.81,1.04424,0.72052,0.42908,0.11069,0.05841,2015,,AMR,Americas,VEN,Female,0.79,0.56,1.07,0.79 [0.56 – 1.07],10.26013351134849,7.48,11.194969511733015
